処方名,読み（ひらがな）,読み（カタカナ）
地竜,じりゅう,ジリュウ
辛夷清肺湯,しんいせいはいとう,シンイセイハイトウ
神仙太乙膏,しんせんたいつこう,シンセンタイツコウ
参蘇飲,じんそいん,ジンソイン
神秘湯,しんぴとう,シンピトウ
真武湯,しんぶとう,シンブトウ
参苓白朮散,じんりょうびゃくじゅつさん,ジンリョウビャクジュツサン
参苓白朮散料,じんりょうびゃくじゅつさん,ジンリョウビャクジュツサン
清湿化痰湯,せいしつけたんとう,セイシツケタントウ
清上蠲痛湯,せいじょうけんつうとう,セイジョウケンツウトウ
清上防風湯,せいじょうぼうふうとう,セイジョウボウフウトウ
清暑益気湯,せいしょえっきとう,セイショエッキトウ
清心蓮子飲,せいしんれんしいん,セイシンレンシイン
石流茶,せきりゅうちゃ,セキリュウチャ
洗肝明目湯,せんかんめいもくとう,センカンメイモクトウ
千金内托散,せんきんないたくさん,センキンナイタクサン
続命湯,ぞくめいとう,ゾクメイトウ
疎経活血湯,そけいかっけつとう,ソケイカッケツトウ
蘇子降気湯,そしこうきとう,ソシコウキトウ
大黄甘草湯,だいおうかんぞうとう,ダイオウカンゾウトウ
大黄牡丹皮湯,だいおうぼたんぴとう,ダイオウボタンピトウ
大建中湯,だいけんちゅうとう,ダイケンチュウトウ
大柴胡湯,だいさいことう,ダイサイコトウ
大柴胡湯去大黄,だいさいことうきょだいおう,ダイサイコトウキョダイオウ
大承気湯,だいじょうきとう,ダイジョウキトウ
沢瀉湯,たくしゃとう,タクシャトウ
竹茹温胆湯,ちくじょおんたんとう,チクジョオンタントウ
竹葉石膏湯,ちくようせっこうとう,チクヨウセッコウトウ
治打撲一方,ぢだぼくいっぽう,ヂダボクイッポウ
知柏地黄丸,ちばくじおうがん,チバクジオウガン
釣藤散,ちょうとうさん,チョウトウサン
腸癰湯,ちょうようとう,チョウヨウトウ
猪苓湯,ちょれいとう,チョレイトウ
通導散,つうどうさん,ツウドウサン
定悸飲,ていきいん,テイキイン
田三七人参,でんさんしちにんじん,デンサンシチニンジン
桃核承気湯,とうかくじょうきとう,トウカクジョウキトウ
当帰飲子,とうきいんし,トウキインシ
当帰建中湯,とうきけんちゅうとう,トウキケンチュウトウ
当帰四逆加呉茱萸生姜湯,とうきしぎゃくかごしゅゆしょうきょうとう,トウキシギャクカゴシュユショウキョウトウ
当帰芍薬散,とうきしゃくやくさん,トウキシャクヤクサン
当帰芍薬散料,とうきしゃくやくさん,トウキシャクヤクサン
独活葛根湯,どっかつかっこんとう,ドッカツカッコントウ
独活寄生丸,どっかつきせいがん,ドッカツキセイガン
二陳湯,にちんとう,ニチントウ
女神散,にょしんさん,ニョシンサン
人参湯,にんじんとう,ニンジントウ
人参養栄湯,にんじんようえいとう,ニンジンヨウエイトウ
排膿散及湯,はいのうさんきゅうとう,ハイノウサンキュウトウ
麦門冬湯,ばくもんどうとう,バクモンドウトウ
八味丸,はちみがん,ハチミガン
八味地黄丸,はちみじおうがん,ハチミジオウガン
半夏厚朴湯,はんげこうぼくとう,ハンゲコウボクトウ
半夏瀉心湯,はんげしゃしんとう,ハンゲシャシントウ
半夏白朮天麻湯,はんげびゃくじゅつてんまとう,ハンゲビャクジュツテンマトウ
板藍根,ばんらんこん,バンランコン
ビタミン含有保健薬,びたみん含有保健薬,ビタミン含有保健薬
鼻通湯,びつうとう,ビツウトウ
白虎加人参湯,びゃっこかにんじんとう,ビャッコカニンジントウ
茯苓飲,ぶくりょういん,ブクリョウイン
茯苓飲合半夏厚朴湯,ふくりょういんごうはんげこうぼくとう,フクリョウインゴウハンゲコウボクトウ
ブシ 炮附子,ぶし ほうぶし,ブシ ホウブシ
婦人宝,ふじんほう,フジンホウ
分消湯,ぶんしょうとう,ブンショウトウ
平胃散,へいいさん,ヘイイサン
防已黄耆湯,ぼういおうぎとう,ボウイオウギトウ
防風通聖散,ぼうふうつうしょうさん,ボウフウツウショウサン
炮附子,ほうぶし,ホウブシ
補気建中湯,ほきけんちゅうとう,ホキケンチュウトウ
補中益気湯,ほちゅうえっきとう,ホチュウエッキトウ
補陽還五湯,ほようかんごとう,ホヨウカンゴトウ
麻黄湯,まおうとう,マオウトウ
麻黄附子細辛湯,まおうぶしさいしんとう,マオウブシサイシントウ
麻杏甘石湯,まきょうかんせきとう,マキョウカンセキトウ
麻杏薏甘湯,まきょうよくかんとう,マキョウヨクカントウ
麻子仁丸,ましにんがん,マシニンガン
満量,まんりょう,マンリョウ
味麦地黄丸,みばくじおうがん,ミバクジオウガン
木防已湯,もくぼういとう,モクボウイトウ
ヨクイニン,よくいにん,ヨクイニン
薏苡仁湯,よくいにんとう,ヨクイニントウ
抑肝散,よくかんさん,ヨクカンサン
抑肝散加陳皮半夏,よくかんさんかちんぴはんげ,ヨクカンサンカチンピハンゲ
六君子湯,りっくんしとう,リックンシトウ
隆持源,りゅうじげん,リュウジゲン
竜胆瀉肝湯,りゅうたんしゃかんとう,リュウタンシャカントウ
苓甘姜味辛夏仁湯,りょうかんきょうみしんげにんとう,リョウカンキョウミシンゲニントウ
苓姜朮甘湯,りょうきょうじゅつかんとう,リョウキョウジュツカントウ
苓桂甘棗湯,りょうけいかんそうとう,リョウケイカンソウトウ
苓桂朮甘湯,りょうけいじゅつかんとう,リョウケイジュツカントウ
苓桂味甘湯,りょうけいみかんとう,リョウケイミカントウ
麗沢通気湯加辛夷,れいたくつうきとうかしんい,レイタクツウキトウカシンイ
連珠飲,れんじゅいん,レンジュイン
六味丸,ろくみがん,ロクミガン
強心薬,強心薬,強心薬
紫根牡蠣湯,紫根牡蠣湯,紫根牡蠣湯
柴胡加竜骨牡蠣湯,柴胡加竜骨牡蠣湯,柴胡加竜骨牡蠣湯
柴朴湯,柴朴湯,柴朴湯
生薬主薬製剤,生薬主薬製剤,生薬主薬製剤
生薬製剤,生薬製剤,生薬製剤
折衝飲,折衝飲,折衝飲
鎮咳去痰薬,鎮咳去痰薬,鎮咳去痰薬
皮膚軟化薬,皮膚軟化薬,皮膚軟化薬
補気健中湯,補気健中湯,補気健中湯
瀉下薬,瀉下薬,瀉下薬
