生薬名（漢字）,生薬名（カタカナ）,読み（ひらがな）,備考
竹茹,チクジョ,ちくじょ,配合製品数: 1
竹葉,チクヨウ,ちくよう,配合製品数: 1
知母,チモ,ちも,配合製品数: 14
丁香,チョウジ,ちょうじ,配合製品数: 3
釣藤鈎,チョウトウコウ,ちょうとうこう,配合製品数: 6
猪苓,チョレイ,ちょれい,配合製品数: 8
陳皮,チンピ,ちんぴ,配合製品数: 43
天花粉,テンカ,てんか,日本薬局方生薬
田三七人参,デンサンシチニンジン,でんさんしちにんじん,日本薬局方生薬
天南星,テンナンショウ,てんなんしょう,配合製品数: 1
天麻,テンマ,てんま,配合製品数: 1
天門冬,テンモンドウ,てんもんどう,配合製品数: 2
冬瓜子,トウガシ,とうがし,配合製品数: 2
当帰,トウキ,とうき,配合製品数: 88
党参,トウジン,とうじん,配合製品数: 3
燈心草,トウシンソウ,とうしんそう,配合製品数: 3
唐独活,トウドクカツ,とうどくかつ,配合製品数: 2
桃仁,トウニン,とうにん,配合製品数: 16
独活,ドクカツ,どくかつ,配合製品数: 6
杜仲,トチュウ,とちゅう,配合製品数: 2
土鼈甲,ドベッコウ,どべっこう,配合製品数: 1
南天実,ナンテンジツ,なんてんじつ,配合製品数: 1
2,ニ,に,日本薬局方生薬
肉桂,ニッケイ,にっけい,日本薬局方生薬
人参,ニンジン,にんじん,配合製品数: 58
忍冬,ニンドウ,にんどう,配合製品数: 1
麦芽,バクガ,ばくが,配合製品数: 2
白芥子,ハクガイシ,ハクガイシ,配合製品数: 1
麦門冬,バクモンドウ,ばくもんどう,配合製品数: 2
薄荷,ハッカ,はっか,配合製品数: 27
浜防風,ハマボウフウ,はまぼうふう,配合製品数: 7
半夏,ハンゲ,はんげ,配合製品数: 56
板藍根,バンランコン,ばんらんこん,日本薬局方生薬
百合,ビャクゴウ,びゃくごう,配合製品数: 5
白芷,ビャクシ,びゃくし,配合製品数: 21
白朮,ビャクジュツ,びゃくじゅつ,配合製品数: 65
枇杷葉,ビワヨウ,びわよう,配合製品数: 6
檳榔子,ビンロウジ,びんろうじ,配合製品数: 4
覆盆子,フクボンシ,ふくぼんし,日本薬局方生薬
茯苓,ブクリョウ,ぶくりょう,配合製品数: 101
附子,ブシ,ぶし,配合製品数: 1
婦人宝,フジンホウ,ふじんほう,日本薬局方生薬
扁豆,ヘンズ,へんず,配合製品数: 1
防已,ボウイ,ぼうい,配合製品数: 7
