区分,名称,漢字表記,読み（ひらがな）,読み（カタカナ）,備考
処方名,牛車腎気丸,牛車腎気丸,ごしゃじんきがん,ゴシャジンキガン,漢方処方名
処方名,呉茱萸湯,呉茱萸湯,ごしゅゆとう,ゴシュユトウ,漢方処方名
処方名,小太郎,小太郎,こたろう,コタロウ,漢方処方名
処方名,五淋散,五淋散,ごりんさん,ゴリンサン,漢方処方名
処方名,五苓散,五苓散,ごれいさん,ゴレイサン,漢方処方名
処方名,柴葛解肌湯,柴葛解肌湯,さいかつげきとう,サイカツゲキトウ,漢方処方名
処方名,柴陥湯,柴陥湯,さいかんとう,サイカントウ,漢方処方名
処方名,柴胡加竜骨牡蛎湯,柴胡加竜骨牡蛎湯,さいこかりゅうこつぼれいとう,サイコカリュウコツボレイトウ,漢方処方名
処方名,柴胡桂枝乾姜湯,柴胡桂枝乾姜湯,さいこけいしかんきょうとう,サイコケイシカンキョウトウ,漢方処方名
処方名,柴胡桂枝湯,柴胡桂枝湯,さいこけいしとう,サイコケイシトウ,漢方処方名
処方名,柴胡清肝湯,柴胡清肝湯,さいこせいかんとう,サイコセイカントウ,漢方処方名
処方名,柴胡疎肝湯,柴胡疎肝湯,さいこそかんとう,サイコソカントウ,漢方処方名
処方名,柴芍六君子湯,柴芍六君子湯,さいしゃくりっくんしとう,サイシャクリックンシトウ,漢方処方名
処方名,柴苓湯,柴苓湯,さいれいとう,サイレイトウ,漢方処方名
処方名,三黄瀉心湯,三黄瀉心湯,さんおうしゃしんとう,サンオウシャシントウ,漢方処方名
処方名,参楂神,参楂神,さんざしん,サンザシン,漢方処方名
処方名,参茸大補,参茸大補,さんじょうたいほ,サンジョウタイホ,漢方処方名
処方名,参茸大補丸錠,参茸大補丸錠,さんじょうたいほがんじょう,サンジョウタイホガンジョウ,漢方処方名
処方名,酸棗仁湯,酸棗仁湯,さんそうにんとう,サンソウニントウ,漢方処方名
処方名,三物黄芩湯,三物黄芩湯,さんもつおうごんとう,サンモツオウゴントウ,漢方処方名
処方名,滋陰降火湯,滋陰降火湯,じいんこうかとう,ジインコウカトウ,漢方処方名
処方名,紫雲膏,紫雲膏,しうんこう,シウンコウ,漢方処方名
処方名,四逆散,四逆散,しぎゃくさん,シギャクサン,漢方処方名
処方名,四君子湯,四君子湯,しくんしとう,シクンシトウ,漢方処方名
処方名,紫根牡蛎湯,紫根牡蛎湯,しこんぼれいとう,シコンボレイトウ,漢方処方名
処方名,梔子柏皮湯,梔子柏皮湯,ししはくひとう,シシハクヒトウ,漢方処方名
処方名,滋腎通耳湯,滋腎通耳湯,じじんつうじとう,ジジンツウジトウ,漢方処方名
処方名,滋腎明目湯,滋腎明目湯,じじんめいもくとう,ジジンメイモクトウ,漢方処方名
処方名,七物降下湯,七物降下湯,しちもつこうかとう,シチモツコウカトウ,漢方処方名
処方名,柿蒂湯,柿蒂湯,していとう,シテイトウ,漢方処方名
処方名,四物湯,四物湯,しもつとう,シモツトウ,漢方処方名
処方名,炙甘草湯,炙甘草湯,しゃかんぞうとう,シャカンゾウトウ,漢方処方名
処方名,芍薬甘草湯,芍薬甘草湯,しゃくやくかんぞうとう,シャクヤクカンゾウトウ,漢方処方名
処方名,十全大補湯,十全大補湯,じゅうぜんたいほとう,ジュウゼンタイホトウ,漢方処方名
処方名,十味敗毒湯,十味敗毒湯,じゅうみはいどくとう,ジュウミハイドクトウ,漢方処方名
処方名,小建中湯,小建中湯,しょうけんちゅうとう,ショウケンチュウトウ,漢方処方名
処方名,小柴胡湯,小柴胡湯,しょうさいことう,ショウサイコトウ,漢方処方名
処方名,小青竜湯,小青竜湯,しょうせいりゅうとう,ショウセイリュウトウ,漢方処方名
処方名,小青竜湯加杏仁石膏,小青竜湯加杏仁石膏,しょうせいりゅうとう加杏仁石膏,ショウセイリュウトウ加杏仁石膏,漢方処方名
処方名,小半夏加茯苓湯,小半夏加茯苓湯,しょうはんげかぶくりょうとう,ショウハンゲカブクリョウトウ,漢方処方名
処方名,消風散,消風散,しょうふうさん,ショウフウサン,漢方処方名
