区分,名称,漢字表記,読み（ひらがな）,読み（カタカナ）,備考
生薬名,ジリュウ,地竜,じりゅう,ジリュウ,配合製品数: 1
生薬名,シンイ,辛夷,しんい,シンイ,配合製品数: 9
生薬名,シンキク,神麯,しんきく,シンキク,配合製品数: 1
生薬名,ジンギョウ,秦艽,じんぎょう,ジンギョウ,配合製品数: 2
生薬名,セイヒ,青皮,せいひ,セイヒ,配合製品数: 1
生薬名,セキショウブ,石菖蒲,せきしょうぶ,セキショウブ,日本薬局方生薬
生薬名,セキリュウチャ,石流茶,せきりゅうちゃ,セキリュウチャ,日本薬局方生薬
生薬名,セッコウ,セッコウ,せっこう,セッコウ,配合製品数: 27
生薬名,セッコク,石斛,せっこく,セッコク,配合製品数: 1
生薬名,センキュウ,川芎,せんきゅう,センキュウ,配合製品数: 70
生薬名,ゼンコ,前胡,ぜんこ,ゼンコ,配合製品数: 4
生薬名,センコツ,川骨,せんこつ,センコツ,配合製品数: 1
生薬名,センソ,蟾酥,せんそ,センソ,配合製品数: 1
生薬名,センタイ,蟬退,せんたい,センタイ,配合製品数: 1
生薬名,ソウキセイ,桑寄生,そうきせい,ソウキセイ,配合製品数: 2
生薬名,ソウジシ,蒼耳子,そうじし,ソウジシ,日本薬局方生薬
生薬名,ソウジュツ,蒼朮,そうじゅつ,ソウジュツ,配合製品数: 19
生薬名,ソクダン,続断,そくだん,ソクダン,日本薬局方生薬
生薬名,ソシ,蘇子,そし,ソシ,日本薬局方生薬
生薬名,ソボク,蘇木,そぼく,ソボク,配合製品数: 3
生薬名,ソヨウ,蘇葉,そよう,ソヨウ,配合製品数: 13
生薬名,ダイオウ,大黄,だいおう,ダイオウ,配合製品数: 34
生薬名,タイソウ,大棗,たいそう,タイソウ,配合製品数: 73
生薬名,ダイフクヒ,大腹皮,だいふくひ,ダイフクヒ,配合製品数: 3
生薬名,タクシャ,沢瀉,たくしゃ,タクシャ,配合製品数: 35
生薬名,タンジン,丹参,たんじん,タンジン,配合製品数: 2
生薬名,タンズシ,淡豆豉,たんずし,タンズシ,配合製品数: 4
生薬名,タンチクヨウ,淡竹葉,たんちくよう,タンチクヨウ,配合製品数: 4
生薬名,チクジョ,竹茹,ちくじょ,チクジョ,配合製品数: 1
生薬名,チクヨウ,竹葉,ちくよう,チクヨウ,配合製品数: 1
生薬名,チモ,知母,ちも,チモ,配合製品数: 14
生薬名,チョウジ,丁香,ちょうじ,チョウジ,配合製品数: 3
生薬名,チョウトウコウ,釣藤鈎,ちょうとうこう,チョウトウコウ,配合製品数: 6
生薬名,チョレイ,猪苓,ちょれい,チョレイ,配合製品数: 8
生薬名,チンピ,陳皮,ちんぴ,チンピ,配合製品数: 43
生薬名,テンカ,天花粉,てんか,テンカ,日本薬局方生薬
生薬名,デンサンシチニンジン,田三七人参,でんさんしちにんじん,デンサンシチニンジン,日本薬局方生薬
生薬名,テンナンショウ,天南星,てんなんしょう,テンナンショウ,配合製品数: 1
生薬名,テンマ,天麻,てんま,テンマ,配合製品数: 1
生薬名,テンモンドウ,天門冬,てんもんどう,テンモンドウ,配合製品数: 2
生薬名,トウガシ,冬瓜子,とうがし,トウガシ,配合製品数: 2
生薬名,トウキ,当帰,とうき,トウキ,配合製品数: 88
生薬名,トウジン,党参,とうじん,トウジン,配合製品数: 3
生薬名,トウシンソウ,燈心草,とうしんそう,トウシンソウ,配合製品数: 3
生薬名,トウドクカツ,唐独活,とうどくかつ,トウドクカツ,配合製品数: 2
生薬名,トウニン,桃仁,とうにん,トウニン,配合製品数: 16
生薬名,ドクカツ,独活,どくかつ,ドクカツ,配合製品数: 6
生薬名,トチュウ,杜仲,とちゅう,トチュウ,配合製品数: 2
生薬名,ドベッコウ,土鼈甲,どべっこう,ドベッコウ,配合製品数: 1
生薬名,南天実,南天実,なんてんじつ,ナンテンジツ,配合製品数: 1
生薬名,ニ,2,に,ニ,日本薬局方生薬
生薬名,ニッケイ,肉桂,にっけい,ニッケイ,日本薬局方生薬
生薬名,ニンジン,人参,にんじん,ニンジン,配合製品数: 58
生薬名,ニンドウ,忍冬,にんどう,ニンドウ,配合製品数: 1
生薬名,バクガ,麦芽,ばくが,バクガ,配合製品数: 2
生薬名,ハクガイシ,白芥子,ハクガイシ,ハクガイシ,配合製品数: 1
生薬名,麦門冬,麦門冬,ばくもんどう,バクモンドウ,配合製品数: 2
生薬名,ハッカ,薄荷,はっか,ハッカ,配合製品数: 27
生薬名,ハマボウフウ,浜防風,はまぼうふう,ハマボウフウ,配合製品数: 7
生薬名,ハンゲ,半夏,はんげ,ハンゲ,配合製品数: 56
生薬名,バンランコン,板藍根,ばんらんこん,バンランコン,日本薬局方生薬
生薬名,ビャクゴウ,百合,びゃくごう,ビャクゴウ,配合製品数: 5
生薬名,ビャクシ,白芷,びゃくし,ビャクシ,配合製品数: 21
生薬名,ビャクジュツ,白朮,びゃくじゅつ,ビャクジュツ,配合製品数: 65
生薬名,ビワヨウ,枇杷葉,びわよう,ビワヨウ,配合製品数: 6
生薬名,ビンロウジ,檳榔子,びんろうじ,ビンロウジ,配合製品数: 4
生薬名,フクボンシ,覆盆子,ふくぼんし,フクボンシ,日本薬局方生薬
生薬名,ブクリョウ,茯苓,ぶくりょう,ブクリョウ,配合製品数: 101
生薬名,ブシ2,附子,ぶし,ブシ,配合製品数: 1
生薬名,フジンホウ,婦人宝,ふじんほう,フジンホウ,日本薬局方生薬
生薬名,ヘンズ,扁豆,へんず,ヘンズ,配合製品数: 1
生薬名,ボウイ,防已,ぼうい,ボウイ,配合製品数: 7
生薬名,ボウフウ,防風,ぼうふう,ボウフウ,配合製品数: 26
生薬名,ホオウ,蒲黄,ほおう,ホオウ,日本薬局方生薬
生薬名,ボクソク,撲樕,ぼくそく,ボクソク,配合製品数: 1
生薬名,ホコウエイ,蒲公英,ほこうえい,ホコウエイ,日本薬局方生薬
生薬名,ホコツシ,補骨脂,ほこつし,ホコツシ,日本薬局方生薬
生薬名,ボタンピ,牡丹皮,ぼたんぴ,ボタンピ,配合製品数: 28
生薬名,ボレイ,牡蛎,ぼれい,ボレイ,配合製品数: 10
生薬名,マオウ,麻黄,まおう,マオウ,配合製品数: 38
生薬名,マシニン,麻子仁,ましにん,マシニン,配合製品数: 4
生薬名,マツ,末,まつ,マツ,日本薬局方生薬
生薬名,マンケイシ,蔓荊子,まんけいし,マンケイシ,配合製品数: 4
生薬名,ミツロウ,蜜蝋,みつろう,ミツロウ,配合製品数: 1
生薬名,無水ボウショウ,無水芒硝,むすいぼうしょう,ムスイボウショウ,配合製品数: 12
生薬名,モクツウ,木通,もくつう,モクツウ,配合製品数: 16
生薬名,モッカ,木瓜,もっか,モッカ,日本薬局方生薬
生薬名,モッコウ,木香,もっこう,モッコウ,配合製品数: 11
生薬名,モツヤク,没薬,もつやく,モツヤク,日本薬局方生薬
生薬名,ヤクモソウ,益母草,やくもそう,ヤクモソウ,配合製品数: 2
生薬名,ユウタン,熊胆,ゆうたん,ユウタン,配合製品数: 1
生薬名,ヨクイニン,薏苡仁,よくいにん,ヨクイニン,配合製品数: 6
生薬名,ヨクカンサンカチンピハンゲ,抑肝散加陳皮半夏,よくかんさんかちんぴはんげ,ヨクカンサンカチンピハンゲ,日本薬局方生薬
生薬名,リヒ,梨皮,りひ,リヒ,配合製品数: 1
生薬名,リボフラビン,リボフラビン,りぼふらびん,リボフラビン,配合製品数: 1
生薬名,リュウガンニク,竜眼肉,りゅうがんにく,リュウガンニク,配合製品数: 1
生薬名,リュウコツ,竜骨,りゅうこつ,リュウコツ,配合製品数: 3
生薬名,リュウジゲン,隆持源,りゅうじげん,リュウジゲン,日本薬局方生薬
生薬名,リュウタン,竜胆,りゅうたん,リュウタン,配合製品数: 6
生薬名,リュウノウ,竜脳,りゅうのう,リュウノウ,配合製品数: 1
生薬名,リョウキョウ,良姜,りょうきょう,リョウキョウ,配合製品数: 3
生薬名,レイタクツウキトウカシンイ,麗沢通気湯加辛夷,れいたくつうきとうかしんい,レイタクツウキトウカシンイ,日本薬局方生薬
生薬名,レイヨウカク,羚羊角,れいようかく,レイヨウカク,配合製品数: 2
生薬名,レンギョウ,連翹,れんぎょう,レンギョウ,配合製品数: 21
生薬名,レンシ,蓮子,れんし,レンシ,日本薬局方生薬
生薬名,レンニク,蓮肉,れんにく,レンニク,配合製品数: 2
生薬名,鹿茸,鹿茸,ろくじょう,ロクジョウ,配合製品数: 1
生薬名,ワキョウカツ,和羌活,わきょうかつ,ワキョウカツ,配合製品数: 3
